Date,Open,High,Low,Close,Adj Close,Volume
2017-08-22,48.130001,48.439999,47.779999,48.349998,48.349998,11005500
2017-08-23,48.259998,48.669998,48.189999,48.279999,48.279999,8909200
2017-08-24,48.349998,48.560001,48.180000,48.310001,48.310001,8898200
2017-08-25,48.480000,48.980000,48.430000,48.680000,48.680000,9846700
2017-08-28,48.650002,48.750000,48.310001,48.610001,48.610001,6329400
2017-08-29,48.360001,48.759998,48.330002,48.509998,48.509998,6044100
2017-08-30,48.330002,48.369999,48.000000,48.119999,48.119999,10758400
2017-08-31,48.259998,48.400002,47.930000,47.970001,47.970001,14237700
2017-09-01,48.020000,48.070000,47.770000,47.919998,47.919998,11455200
2017-09-05,47.779999,47.919998,47.299999,47.360001,47.360001,10005100
2017-09-06,47.470001,47.560001,46.619999,46.910000,46.910000,14081900
2017-09-07,47.000000,47.209999,46.070000,46.200001,46.200001,16591100
2017-09-08,46.180000,46.389999,45.709999,46.110001,46.110001,14108000
2017-09-11,46.230000,46.340000,46.119999,46.299999,46.299999,11073700
2017-09-12,46.500000,46.950001,46.380001,46.790001,46.790001,11173200
2017-09-13,46.779999,47.259998,46.680000,47.250000,47.250000,12772700
2017-09-14,47.240002,47.590000,47.009998,47.180000,47.180000,11808500
2017-09-15,47.419998,47.900002,47.060001,47.860001,47.860001,24626500
2017-09-18,47.910000,48.250000,47.509998,48.090000,48.090000,18810200
2017-09-19,48.090000,49.549999,48.009998,49.340000,49.340000,30818000
2017-09-20,49.299999,49.639999,49.080002,49.480000,49.480000,18755900
2017-09-21,49.369999,49.439999,48.840000,48.939999,48.939999,14272700
