Date,Open,High,Low,Close,Adj Close,Volume
2017-08-22,140.639999,141.149994,140.380005,141.009995,141.009995,2544400
2017-08-23,140.699997,143.050003,140.679993,142.139999,142.139999,4048300
2017-08-24,142.500000,143.679993,142.250000,142.940002,142.940002,3592200
2017-08-25,143.300003,144.190002,143.250000,143.740005,143.740005,2872900
2017-08-28,144.110001,144.559998,142.389999,142.509995,142.509995,5134500
2017-08-29,142.100006,143.429993,141.899994,143.139999,143.139999,3009500
2017-08-30,143.259995,143.279999,142.410004,142.559998,142.559998,2736000
2017-08-31,143.020004,143.660004,142.630005,143.029999,143.029999,3656400
2017-09-01,142.979996,144.500000,142.979996,144.080002,144.080002,3351700
2017-09-05,143.500000,144.360001,142.699997,143.039993,143.039993,3097500
2017-09-06,143.880005,144.470001,143.500000,143.820007,143.820007,3273300
2017-09-07,144.100006,144.639999,142.410004,142.899994,142.899994,4188200
2017-09-08,143.149994,143.149994,141.639999,142.449997,142.449997,3344700
2017-09-11,143.539993,145.130005,143.009995,144.860001,144.860001,4613400
2017-09-12,145.110001,146.369995,144.509995,145.759995,145.759995,5238100
2017-09-13,145.350006,146.289993,145.339996,145.990005,145.990005,4101000
2017-09-14,145.860001,146.380005,145.509995,145.539993,145.539993,3756900
2017-09-15,144.820007,145.169998,144.080002,144.820007,144.820007,7397200
2017-09-18,144.809998,145.479996,144.270004,144.550003,144.550003,3019500
2017-09-19,144.789993,144.979996,144.220001,144.389999,144.389999,3464400
2017-09-20,144.929993,145.880005,144.419998,145.880005,145.880005,5447500
2017-09-21,145.649994,145.889999,145.100006,145.259995,145.259995,2289300
